"locus_tag"	"symbol"	"gene_name"	"old_locus_tag"	"product"	"eggNOG_name"	"eggNOG_description"	"GO_component"	"GO_function"	"GO_process"	"eggNOG_GOs"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"eggNOG_evalue"
"SPY_RS07865"	"ykuT"	"-"	"SPy_1897"	"mechanosensitive ion channel family protein"	"ykuT"	"mechanosensitive ion channel"	"-"	"-"	"-"	"GO:0003674,GO:0005215,GO:0006810,GO:0006950,GO:0006970,GO:0008150,GO:0008381,GO:0009628,GO:0009987,GO:0015267,GO:0022803,GO:0022836,GO:0022857,GO:0033554,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0071214,GO:0071470,GO:0104004"	"ko:K16052,ko:K22044"	"-"	"-"	"-"	"-"	"1.0999999999999998e-192"
"SPY_RS07870"	"ywlG"	"-"	"SPy_1898"	"TIGR01440 family protein"	"ywlG"	"Belongs to the UPF0340 family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"5.81e-125"
"SPY_RS07875"	"hmpT"	"-"	"SPy_1899"	"ECF transporter S component"	"hmpT"	"cog cog4720"	"GO:0016020 - membrane [Evidence IEA]"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.99e-106"
"SPY_RS07880"	"thiD"	"-"	"SPy_1900"	"bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase"	"thiD"	"phosphomethylpyrimidine kinase"	"-"	"GO:0008972 - phosphomethylpyrimidine kinase activity [Evidence IEA]"	"GO:0009228 - thiamine biosynthetic process [Evidence IEA]"	"-"	"ko:K00868"	"ko00750,ko01100,map00750,map01100"	"-"	"R00174,R01909,R02493"	"RC00002,RC00017"	"2.2e-174"
"SPY_RS07885"	"truA"	"truA"	"SPy_1901"	"tRNA pseudouridine(38-40) synthase TruA"	"truA"	"Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs"	"-"	"GO:0009982 - pseudouridine synthase activity [Evidence IEA]"	"GO:0006400 - tRNA modification [Evidence IEA]"	"GO:0001522,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016853,GO:0016866,GO:0031119,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360"	"ko:K06173"	"-"	"-"	"-"	"-"	"8.39e-181"
"SPY_RS07890"	"sigH"	"-"	"SPy_1902"	"sigma-70 family RNA polymerase sigma factor"	"sigH"	"DNA-templated transcription, initiation"	"-"	"-"	"-"	"-"	"ko:K03088,ko:K03091,ko:K12296"	"ko02020,ko02024,map02020,map02024"	"-"	"-"	"-"	"7.32e-108"
"SPY_RS07925"	"SPy_1903"	"-"	"SPy_1903"	"glycerate kinase"	"-"	"Belongs to the glycerate kinase type-1 family"	"-"	"-"	"-"	"-"	"ko:K00865"	"ko00260,ko00561,ko00630,ko01100,ko01120,ko01130,map00260,map00561,map00630,map01100,map01120,map01130"	"-"	"R08572"	"RC00002,RC00428"	"3.84e-244"
"SPY_RS07930"	"hsdR"	"-"	"SPy_1904"	"type I restriction endonuclease subunit R"	"hsdR"	"Subunit R is required for both nuclease and ATPase activities, but not for modification"	"-"	"-"	"-"	"-"	"ko:K01153"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS07935"	"hsdS"	"-"	"SPy_1905"	"restriction endonuclease subunit S"	"hsdS"	"type I restriction modification DNA specificity domain protein"	"-"	"GO:0003677 - DNA binding [Evidence IEA]"	"GO:0006304 - DNA modification [Evidence IEA]"	"-"	"ko:K01154"	"-"	"-"	"-"	"-"	"4.14e-277"
"SPY_RS07940"	"hsdM"	"-"	"SPy_1906"	"type I restriction-modification system subunit M"	"hsdM"	"type I restriction-modification system"	"-"	"GO:0009007 - site-specific DNA-methyltransferase (adenine-specific) activity [Evidence IEA] | GO:0015666 - restriction endodeoxyribonuclease activity [Evidence IEA]"	"GO:0006306 - DNA methylation [Evidence IEA] | GO:0009307 - DNA restriction-modification system [Evidence IEA]"	"-"	"ko:K03427"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS07950"	"salR"	"-"	"SPy_1908"	"response regulator transcription factor"	"salR"	"helix_turn_helix, Lux Regulon"	"-"	"-"	"-"	"-"	"ko:K14989"	"ko02020,map02020"	"M00522"	"-"	"-"	"2.2399999999999997e-134"
"SPY_RS07955"	"SPy_1910"	"-"	"SPy_1910"	"hypothetical protein"	"-"	"Histidine kinase"	"-"	"-"	"-"	"-"	"ko:K14988"	"ko02020,map02020"	"M00522"	"-"	"-"	"2.47e-137"
"SPY_RS07960"	"SPy_1911"	"-"	"SPy_1911"	"FtsX-like permease family protein"	"-"	"ABC transporter (permease)"	"-"	"-"	"-"	"-"	"ko:K02004"	"-"	"M00258"	"-"	"-"	"0.0"
"SPY_RS07965"	"SPy_1912"	"-"	"SPy_1912"	"ABC transporter ATP-binding protein"	"-"	"ABC transporter"	"-"	"-"	"-"	"-"	"ko:K02003"	"-"	"M00258"	"-"	"-"	"4.54e-158"
"SPY_RS07970"	"lanT"	"-"	"SPy_1913"	"ABC transporter ATP-binding protein"	"lanT"	"ABC-type bacteriocin lantibiotic exporters, contain an N-terminal double-glycine peptidase domain"	"-"	"-"	"-"	"-"	"ko:K06148,ko:K13409,ko:K20344,ko:K20386"	"ko02010,ko02024,ko04626,map02010,map02024,map04626"	"M00339"	"-"	"-"	"1.21e-94"
"SPY_RS07975"	"salB"	"-"	"SPy_1914"	"DUF4135 domain-containing protein"	"salB"	"Domain of unknown function (DUF4135)"	"-"	"-"	"-"	"-"	"ko:K20385"	"ko02024,map02024"	"-"	"-"	"-"	"0.0"
"SPY_RS07980"	"SPy_1915"	"-"	"SPy_1915"	"type A2 lanthipeptide"	"-"	"-"	"GO:0005576 - extracellular region [Evidence IEA]"	"-"	"GO:0042742 - defense response to bacterium [Evidence IEA]"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"SPY_RS07985"	"lacG"	"lacG"	"SPy_1916"	"6-phospho-beta-galactosidase"	"lacG"	"Belongs to the glycosyl hydrolase 1 family"	"GO:0009341 - beta-galactosidase complex [Evidence IEA]"	"GO:0004565 - beta-galactosidase activity [Evidence IEA]"	"GO:0006012 - galactose metabolic process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004553,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0008150,GO:0008152,GO:0008422,GO:0015926,GO:0016787,GO:0016798,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901135,GO:1901657"	"ko:K01220,ko:K01223,ko:K05350"	"ko00010,ko00052,ko00460,ko00500,ko00940,ko01100,ko01110,map00010,map00052,map00460,map00500,map00940,map01100,map01110"	"-"	"R00026,R00839,R02558,R02887,R02985,R03256,R03527,R04949,R04998,R05133,R05134,R10035,R10039,R10040"	"RC00049,RC00059,RC00171,RC00262,RC00397,RC00451,RC00714,RC00746,RC01248"	"0.0"
"SPY_RS07990"	"lacE"	"-"	"SPy_1917"	"lactose-specific PTS transporter subunit EIIC"	"lacE"	"PTS system, lactose-specific"	"GO:0019197 - phosphoenolpyruvate-dependent sugar phosphotransferase complex [Evidence IEA]"	"GO:0015155 - lactose transmembrane transporter activity [Evidence IEA]"	"GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system [Evidence IEA]"	"-"	"ko:K02787,ko:K02788"	"ko00052,ko01100,ko02060,map00052,map01100,map02060"	"M00281"	"R04393"	"RC00017,RC03206"	"0.0"
"SPY_RS07995"	"lacF"	"-"	"SPy_1918"	"PTS lactose/cellobiose transporter subunit IIA"	"lacF"	"PTS system, Lactose/Cellobiose specific IIA subunit"	"-"	"-"	"-"	"-"	"ko:K02786"	"ko00052,ko01100,ko02060,map00052,map01100,map02060"	"M00281"	"R04393"	"RC00017,RC03206"	"6.75e-67"
"SPY_RS08000"	"lacD"	"lacD"	"SPy_1919"	"tagatose-bisphosphate aldolase"	"lacD"	"Belongs to the aldolase LacD family"	"-"	"GO:0009025 - tagatose-bisphosphate aldolase activity [Evidence IEA]"	"GO:0019512 - lactose catabolic process via tagatose-6-phosphate [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0006082,GO:0006790,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016054,GO:0016829,GO:0016830,GO:0016832,GO:0044237,GO:0044248,GO:0044273,GO:0044281,GO:0044282,GO:0061595,GO:0071704,GO:1901135,GO:1901136,GO:1901575,GO:1902776,GO:1902777"	"ko:K01635"	"ko00052,ko01100,ko02024,map00052,map01100,map02024"	"-"	"R01069"	"RC00438,RC00439"	"5.84e-227"
"SPY_RS08005"	"lacC"	"-"	"SPy_1921"	"tagatose-6-phosphate kinase"	"lacC"	"Belongs to the carbohydrate kinase PfkB family. LacC subfamily"	"-"	"GO:0009024 - tagatose-6-phosphate kinase activity [Evidence IEA]"	"GO:0019512 - lactose catabolic process via tagatose-6-phosphate [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0019200,GO:0044237,GO:0044238,GO:0044262,GO:0044424,GO:0044444,GO:0044464,GO:0046835,GO:0071704"	"ko:K00917"	"ko00052,ko01100,map00052,map01100"	"-"	"R03236"	"RC00002,RC00017"	"1.9399999999999998e-216"
"SPY_RS08010"	"lacB"	"lacB"	"SPy_1922"	"galactose-6-phosphate isomerase subunit LacB"	"lacB"	"galactose-6-phosphate isomerase subunit LacB"	"-"	"-"	"-"	"-"	"ko:K01819"	"ko00052,ko01100,map00052,map01100"	"-"	"R03240"	"RC00376"	"9.899999999999999e-121"
"SPY_RS08015"	"lacA"	"lacA"	"SPy_1923"	"galactose-6-phosphate isomerase subunit LacA"	"lacA"	"Galactose-6-phosphate isomerase subunit LacA"	"-"	"-"	"-"	"-"	"ko:K01819"	"ko00052,ko01100,map00052,map01100"	"-"	"R03240"	"RC00376"	"1.05e-92"
"SPY_RS08020"	"lacR"	"-"	"SPy_1924"	"DeoR/GlpR family DNA-binding transcription regulator"	"lacR"	"lactose phosphotransferase system repressor"	"-"	"-"	"-"	"GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141"	"ko:K02530"	"-"	"-"	"-"	"-"	"3.7699999999999996e-172"
"SPY_RS08025"	"SPy_1926"	"-"	"SPy_1926"	"DNA-damage-inducible protein J"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.6600000000000002e-26"
"SPY_RS08030"	"SPy_1927"	"-"	"SPy_1927"	"type II toxin-antitoxin system RelE/ParE family toxin"	"XK27_10540"	"Plasmid stabilization system"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4.8e-72"
"SPY_RS09425"	"SPy_1930"	"-"	"SPy_1930"	"site-specific integrase"	"-"	"Belongs to the 'phage' integrase family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.1600000000000002e-43"
"SPY_RS08045"	"rpsI"	"rpsI"	"SPy_1931"	"30S ribosomal protein S9"	"rpsI"	"Belongs to the universal ribosomal protein uS9 family"	"GO:0005840 - ribosome [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0000462,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016070,GO:0016072,GO:0019538,GO:0022613,GO:0022626,GO:0022627,GO:0030490,GO:0032991,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02996"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"8.64e-84"
"SPY_RS08050"	"rplM"	"rplM"	"SPy_1932"	"50S ribosomal protein L13"	"rplM"	"This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly"	"GO:0000315 - organellar large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02871"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"2.86e-102"
"SPY_RS08055"	"SPy_1934"	"-"	"SPy_1934"	"helix-turn-helix transcriptional regulator"	"-"	"Transcriptional"	"-"	"-"	"-"	"-"	"ko:K07729"	"-"	"-"	"-"	"-"	"2.3999999999999997e-41"
"SPY_RS08060"	"SPy_1935"	"-"	"SPy_1935"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.43e-87"
"SPY_RS08065"	"yitS"	"-"	"SPy_1936"	"DegV family protein"	"yitS"	"DegV family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.1e-199"
"SPY_RS08070"	"yacP"	"-"	"SPy_1937"	"NYN domain-containing protein"	"yacP"	"RNA-binding protein containing a PIN domain"	"-"	"-"	"-"	"-"	"ko:K06962"	"-"	"-"	"-"	"-"	"2.52e-119"
"SPY_RS08075"	"rlmB"	"rlmB"	"SPy_1938"	"23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB"	"trmH"	"Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family"	"-"	"GO:0008173 - RNA methyltransferase activity [Evidence IEA]"	"GO:0009451 - RNA modification [Evidence IEA]"	"GO:0000154,GO:0000451,GO:0000453,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008171,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016435,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0070039,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360"	"ko:K03218"	"-"	"-"	"-"	"-"	"1.6200000000000002e-173"
"SPY_RS08080"	"SPy_1939"	"-"	"SPy_1939"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.2499999999999998e-52"
"SPY_RS08085"	"mrnC"	"-"	"SPy_1940"	"Mini-ribonuclease 3"	"mrnC"	"Involved in correct processing of both the 5' and 3' ends of 23S rRNA precursor. Processes 30S rRNA precursor transcript even in absence of ribonuclease 3 (Rnc)"	"-"	"-"	"-"	"GO:0003674,GO:0003824,GO:0004518,GO:0004540,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016787,GO:0016788,GO:0022613,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0140098,GO:1901360"	"ko:K11145"	"-"	"-"	"-"	"-"	"2.33e-89"
"SPY_RS08090"	"cysS"	"cysS"	"SPy_1941"	"cysteine--tRNA ligase"	"cysS"	"Belongs to the class-I aminoacyl-tRNA synthetase family"	"GO:0005737 - cytoplasm [Evidence IEA]"	"GO:0004817 - cysteine-tRNA ligase activity [Evidence IEA]"	"GO:0006423 - cysteinyl-tRNA aminoacylation [Evidence IEA]"	"GO:0000166,GO:0001871,GO:0003674,GO:0003824,GO:0004812,GO:0004817,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006423,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009986,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0017076,GO:0019538,GO:0019752,GO:0030246,GO:0030247,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:2001065"	"ko:K01883"	"ko00970,map00970"	"M00359,M00360"	"R03650"	"RC00055,RC00523"	"0.0"
"SPY_RS08095"	"SPy_1942"	"-"	"SPy_1942"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"6.760000000000001e-29"
"SPY_RS08100"	"cysE"	"cysE"	"SPy_1944"	"serine O-acetyltransferase"	"cysE"	"serine acetyltransferase"	"-"	"GO:0009001 - serine O-acetyltransferase activity [Evidence IEA]"	"GO:0006535 - cysteine biosynthetic process from serine [Evidence IEA]"	"-"	"ko:K00640"	"ko00270,ko00920,ko01100,ko01110,ko01120,ko01200,ko01230,ko05111,map00270,map00920,map01100,map01110,map01120,map01200,map01230,map05111"	"M00021"	"R00586"	"RC00004,RC00041"	"1.42e-133"
"SPY_RS08105"	"SPy_1945"	"-"	"SPy_1945"	"SseB family protein"	"-"	"SseB protein N-terminal domain"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"5.46e-182"
"SPY_RS08110"	"pnp"	"pnp"	"SPy_1946"	"polyribonucleotide nucleotidyltransferase"	"pnp"	"Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction"	"-"	"GO:0004654 - polyribonucleotide nucleotidyltransferase activity [Evidence IEA]"	"GO:0006402 - mRNA catabolic process [Evidence IEA]"	"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0004654,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010468,GO:0010605,GO:0010629,GO:0016070,GO:0016071,GO:0016740,GO:0016772,GO:0016779,GO:0019222,GO:0019439,GO:0034641,GO:0034655,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0048519,GO:0050789,GO:0060255,GO:0065007,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901361,GO:1901363,GO:1901575"	"ko:K00962"	"ko00230,ko00240,ko03018,map00230,map00240,map03018"	"M00394"	"R00437,R00438,R00439,R00440"	"RC02795"	"0.0"
"SPY_RS08115"	"tal"	"-"	"SPy_1947"	"transaldolase"	"tal"	"Pfam:Transaldolase"	"-"	"GO:0004801 - transaldolase activity [Evidence IEA]"	"GO:0006098 - pentose-phosphate shunt [Evidence IEA]"	"-"	"ko:K00616"	"ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map01100,map01110,map01120,map01130,map01200,map01230"	"M00004,M00007"	"R01827"	"RC00439,RC00604"	"7.69e-167"
"SPY_RS08120"	"ulaA"	"-"	"SPy_1949"	"PTS ascorbate transporter subunit IIC"	"ulaA"	"PTS system sugar-specific permease component"	"-"	"-"	"-"	"-"	"ko:K03475"	"ko00053,ko01100,ko01120,ko02060,map00053,map01100,map01120,map02060"	"M00283,M00550"	"R07671"	"RC00017,RC03206"	"8.56e-251"
"SPY_RS08125"	"SPy_1950"	"-"	"SPy_1950"	"PTS sugar transporter subunit IIB"	"-"	"PTS system, Lactose/Cellobiose specific IIB subunit"	"-"	"-"	"-"	"-"	"ko:K02822"	"ko00053,ko01100,ko01120,ko02060,map00053,map01100,map01120,map02060"	"M00283,M00550"	"R07671"	"RC00017,RC03206"	"1.76e-57"
"SPY_RS08130"	"SPy_1952"	"-"	"SPy_1952"	"BglG family transcription antiterminator"	"-"	"transcriptional antiterminator"	"-"	"-"	"-"	"-"	"ko:K02821"	"ko00053,ko01100,ko01120,ko02060,map00053,map01100,map01120,map02060"	"M00283,M00550"	"R07671"	"RC00017,RC03206"	"0.0"
"SPY_RS08135"	"rpsO"	"rpsO"	"SPy_1955"	"30S ribosomal protein S15"	"rpsO"	"Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome"	"GO:0000314 - organellar small ribosomal subunit [Evidence IEA] | GO:0022627 - cytosolic small ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015935,GO:0022626,GO:0022627,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904"	"ko:K02956"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"2.04e-56"
"SPY_RS09260"	"SPy_1956"	"-"	"SPy_1956"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"SPY_RS08140"	"SPy_1957"	"-"	"SPy_1957"	"transcriptional regulator"	"-"	"Catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4.3599999999999997e-23"
"SPY_RS08145"	"def"	"def"	"SPy_1958"	"peptide deformylase"	"def"	"Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions"	"-"	"GO:0042586 - peptide deformylase activity [Evidence IEA]"	"GO:0036211 - protein modification process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016810,GO:0016811,GO:0018193,GO:0018206,GO:0019538,GO:0031365,GO:0036211,GO:0042586,GO:0043170,GO:0043412,GO:0043686,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:1901564"	"ko:K01462"	"-"	"-"	"-"	"-"	"2.08e-145"
"SPY_RS08150"	"SPy_1959"	"-"	"SPy_1959"	"NADPH-dependent FMN reductase"	"XK27_03570"	"reductase"	"-"	"-"	"-"	"-"	"ko:K19784"	"-"	"-"	"-"	"-"	"8.670000000000001e-124"
"SPY_RS08155"	"SPy_1960"	"-"	"SPy_1960"	"MarR family transcriptional regulator"	"-"	"Transcriptional regulator, MarR family"	"-"	"-"	"-"	"-"	"ko:K15973"	"-"	"-"	"-"	"-"	"7.7e-95"
"SPY_RS08160"	"polC"	"-"	"SPy_1961"	"PolC-type DNA polymerase III"	"polC"	"Required for replicative DNA synthesis. This DNA polymerase also exhibits 3' to 5' exonuclease activity"	"-"	"GO:0003677 - DNA binding [Evidence IEA] | GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA] | GO:0008408 - 3'-5' exonuclease activity [Evidence IEA]"	"GO:0006260 - DNA replication [Evidence IEA]"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"ko:K03763"	"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440"	"M00260"	"R00375,R00376,R00377,R00378"	"RC02795"	"0.0"
"SPY_RS08165"	"proS"	"-"	"SPy_1962"	"proline--tRNA ligase"	"proS"	"Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS"	"-"	"GO:0000166 - nucleotide binding [Evidence IEA] | GO:0002161 - aminoacyl-tRNA editing activity [Evidence IEA] | GO:0004812 - aminoacyl-tRNA ligase activity [Evidence IEA] | GO:0004827 - proline-tRNA ligase activity [Evidence IEA] | GO:0005524 - ATP binding [Evidence IEA]"	"GO:0006418 - tRNA aminoacylation for protein translation [Evidence IEA] | GO:0006433 - prolyl-tRNA aminoacylation [Evidence IEA]"	"-"	"ko:K01881"	"ko00970,map00970"	"M00359,M00360"	"R03661"	"RC00055,RC00523"	"0.0"
"SPY_RS08170"	"rseP"	"rseP"	"SPy_1963"	"RIP metalloprotease RseP"	"rseP"	"zinc metalloprotease"	"GO:0016020 - membrane [Evidence IEA]"	"GO:0004222 - metalloendopeptidase activity [Evidence IEA]"	"GO:0006508 - proteolysis [Evidence IEA]"	"-"	"ko:K11749"	"ko02024,ko04112,map02024,map04112"	"-"	"-"	"-"	"1.18e-293"
